gender,ssc_p,hsc_p,degree_p,workex,etest_p,specialisation,mba_p,status,salary,dummy__Commerce,dummy__Science,dummy__Others,dummy__Sci&Tech
1,61.0,70.0,64.0,0,68.5,1,59.5,0,0.0,1,0,0,0
0,74.0,73.0,73.0,1,80.0,0,67.69,1,210000.0,1,0,0,0
1,62.0,63.0,66.0,0,85.0,1,55.14,1,233000.0,0,1,0,0
1,77.67,64.89,70.67,0,89.0,0,60.39,1,300000.0,1,0,0,0
1,73.24,50.83,64.27,1,64.0,0,66.23,1,500000.0,0,1,0,1
0,77.0,86.0,56.0,0,57.0,0,64.08,1,240000.0,0,0,1,0
0,69.0,73.0,65.0,0,70.0,0,57.31,1,220000.0,1,0,0,0
0,69.5,70.0,72.0,0,57.2,1,54.8,1,250000.0,0,1,0,1
1,44.0,58.0,55.0,1,64.25,1,58.54,0,0.0,0,0,0,0
0,79.0,61.0,75.5,1,70.0,0,68.2,1,210000.0,0,1,0,1
0,86.5,64.2,67.4,0,59.0,0,59.69,1,240000.0,0,1,0,1
0,45.0,57.0,58.0,1,56.39,1,64.95,0,0.0,1,0,0,0
0,74.9,57.0,62.0,1,80.0,0,60.78,1,360000.0,0,1,1,0
1,60.0,67.0,70.0,1,50.48,0,77.89,1,236000.0,0,0,0,0
1,82.0,90.0,83.0,0,80.0,1,73.52,1,200000.0,1,0,0,0
1,63.0,67.0,74.0,0,82.0,0,60.44,0,0.0,1,0,0,0
1,65.0,65.0,75.0,0,83.0,0,58.87,1,270000.0,1,0,0,0
1,65.0,68.0,64.0,0,75.0,0,57.8,1,250000.0,0,0,0,0
1,69.0,63.0,65.0,1,55.0,1,58.23,1,360000.0,0,1,0,0
0,84.0,75.0,69.0,1,62.0,1,62.36,1,210000.0,0,1,0,1
0,60.23,69.0,66.0,0,72.0,0,59.47,1,230000.0,0,1,0,0
0,40.89,45.83,53.0,0,71.2,1,65.49,0,0.0,1,0,0,0
1,52.0,55.0,56.3,0,59.0,0,64.74,0,0.0,1,0,0,0
1,58.0,61.0,61.0,0,58.0,1,53.94,1,250000.0,1,0,0,0
1,81.7,63.0,67.0,1,86.0,0,70.2,1,300000.0,0,1,0,0
0,43.0,60.0,65.0,0,92.66,1,62.92,0,0.0,0,1,0,0
1,79.33,78.33,77.48,1,86.5,0,66.28,1,200000.0,0,1,0,1
1,51.0,54.0,61.0,0,60.0,1,60.64,0,0.0,0,1,0,1
1,53.0,63.0,60.0,1,70.0,0,53.2,1,250000.0,0,1,0,0
1,82.0,64.0,66.0,1,67.0,0,62.14,1,252000.0,0,1,0,1
1,74.0,62.0,68.0,0,74.0,0,57.99,1,268000.0,0,1,0,0
1,82.0,61.0,62.0,0,89.0,0,65.45,1,360000.0,0,1,0,1
0,70.5,62.5,61.0,0,93.91,0,69.03,0,0.0,1,0,0,0
1,54.4,61.12,56.2,0,67.0,1,62.65,0,0.0,1,0,0,0
1,80.0,73.0,75.0,0,61.0,0,58.78,1,240000.0,1,0,0,0
0,65.0,75.0,69.0,1,72.0,0,64.66,1,200000.0,1,0,0,0
1,83.0,74.0,66.0,0,68.92,1,58.46,1,275000.0,0,1,0,0
0,52.0,64.0,61.0,0,55.0,0,62.93,0,0.0,1,0,0,0
0,69.0,62.0,69.0,1,67.0,1,62.35,1,240000.0,1,0,0,0
0,77.8,64.0,64.2,0,75.5,1,72.14,0,0.0,0,1,0,1
1,67.9,62.0,67.0,1,58.1,0,75.71,0,0.0,0,1,0,1
1,62.0,62.0,60.0,1,63.0,1,52.38,1,240000.0,1,0,0,0
1,74.2,87.6,77.25,1,75.2,0,66.06,1,285000.0,1,0,0,0
0,66.5,70.4,71.93,0,61.0,0,64.27,1,230000.0,0,0,0,0
1,67.0,91.0,58.0,0,55.0,1,58.8,1,270000.0,1,0,0,1
